code_udi,sentence,population
002000074,Votre réseau alimente de façon permanente 254 personnes.,254
002000077,Votre réseau alimente de façon permanente 1415 personnes.,1415
002000081,Votre réseau alimente de façon permanente 2707 personnes.,2707
002000085,Votre réseau alimente de façon permanente 248 personnes.,248
002000091,Votre réseau alimente de façon permanente 598 personnes.,598
002000094,Votre réseau alimente de façon permanente 200 personnes.,200
002000098,Votre réseau alimente de façon permanente 59 personnes.,59
002000101,Votre réseau alimente de façon permanente 5675 personnes.,5675
002000106,Votre réseau alimente de façon permanente 258 personnes.,258
002000110,Votre réseau alimente de façon permanente 558 personnes.,558
002000114,Votre réseau alimente de façon permanente 195 personnes.,195
002000119,Votre réseau alimente de façon permanente 332 personnes.,332
002000126,Votre réseau alimente de façon permanente 243 personnes.,243
002000129,Votre réseau alimente de façon permanente 406 personnes.,406
002000136,Votre réseau alimente de façon permanente 158 personnes.,158
002000139,Votre réseau alimente de façon permanente 141 personnes.,141
002000143,Votre réseau alimente de façon permanente 185 personnes.,185
002000147,Votre réseau alimente de façon permanente 618 personnes.,618
002000151,Votre réseau alimente de façon permanente 1295 personnes.,1295
002000155,Votre réseau alimente de façon permanente 77 personnes.,77
002000168,Votre réseau alimente de façon permanente 113 personnes.,113
002000172,Votre réseau alimente de façon permanente 738 personnes.,738
002000179,Votre réseau alimente de façon permanente 1013 personnes.,1013
002000182,Votre réseau alimente de façon permanente 346 personnes.,346
002000189,Votre réseau alimente de façon permanente 1353 personnes.,1353
002000193,Votre réseau alimente de façon permanente 558 personnes.,558
002000196,Votre réseau alimente de façon permanente 546 personnes.,546
002000199,Votre réseau alimente de façon permanente 1491 personnes.,1491
002000202,Votre réseau alimente de façon permanente 873 personnes.,873
002000210,Votre réseau alimente de façon permanente 170 personnes.,170
002000214,Votre réseau alimente de façon permanente 1028 personnes.,1028
002000217,Votre réseau alimente de façon permanente 1254 personnes.,1254
002000220,Votre réseau alimente de façon permanente 607 personnes.,607
002000223,Votre réseau alimente de façon permanente 265 personnes.,265
002000226,Votre réseau alimente de façon permanente 104 personnes.,104
002000231,Votre réseau alimente de façon permanente 203 personnes.,203
002000234,Votre réseau alimente de façon permanente 158 personnes.,158
002000237,Votre réseau alimente de façon permanente 130 personnes.,130
002000241,Votre réseau alimente de façon permanente 397 personnes.,397
002000244,Votre réseau alimente de façon permanente 478 personnes.,478
002000270,Votre réseau alimente de façon permanente 604 personnes.,604
002000271,Votre réseau alimente de façon permanente 1028 personnes.,1028
002000273,Votre réseau alimente de façon permanente 809 personnes.,809
002000277,Votre réseau alimente de façon permanente 196 personnes.,196
002000280,Votre réseau alimente de façon permanente 700 personnes.,700
002000286,Votre réseau alimente de façon permanente 422 personnes.,422
002000290,Votre réseau alimente de façon permanente 187 personnes.,187
002000292,Votre réseau alimente de façon permanente 244 personnes.,244
002000297,Votre réseau alimente de façon permanente 1100 personnes.,1100
002000302,Votre réseau alimente de façon permanente 466 personnes.,466
002000307,Votre réseau alimente de façon permanente 57 personnes.,57
002000309,Votre réseau alimente de façon permanente 125 personnes.,125
002000312,Votre réseau alimente de façon permanente 76 personnes.,76
002000315,Votre réseau alimente de façon permanente 772 personnes.,772
002000318,Votre réseau alimente de façon permanente 197 personnes.,197
002000321,Votre réseau alimente de façon permanente 697 personnes.,697
002000325,Votre réseau alimente de façon permanente 533 personnes.,533
002000329,Votre réseau alimente de façon permanente 326 personnes.,326
002000332,Votre réseau alimente de façon permanente 123 personnes.,123
002000335,Votre réseau alimente de façon permanente 201 personnes.,201
002000338,Votre réseau alimente de façon permanente 112 personnes.,112
002000344,Votre réseau alimente de façon permanente 71 personnes.,71
002000349,Votre réseau alimente de façon permanente 80 personnes.,80
002000355,Votre réseau alimente de façon permanente 101 personnes.,101
002000360,Votre réseau alimente de façon permanente 607 personnes.,607
002000362,Votre réseau alimente de façon permanente 124 personnes.,124
002000365,Votre réseau alimente de façon permanente 2034 personnes.,2034
002000370,Votre réseau alimente de façon permanente 100 personnes.,100
002000372,Votre réseau alimente de façon permanente 560 personnes.,560
002000377,Votre réseau alimente de façon permanente 161 personnes.,161
002000379,Votre réseau alimente de façon permanente 665 personnes.,665
002000382,Votre réseau alimente de façon permanente 85 personnes.,85
002000385,Votre réseau alimente de façon permanente 668 personnes.,668
002000389,Votre réseau alimente de façon permanente 237 personnes.,237
002000398,Votre réseau alimente de façon permanente 911 personnes.,911
002000401,Votre réseau alimente de façon permanente 83 personnes.,83
002000418,Votre réseau alimente de façon permanente 295 personnes.,295
